part,name,price,performance_score,description,purpose,clock_speed,vram,core,watt,ram_type,socket,capacity,s_type
gpu,NVIDIA GeForce RTX 4090,209999,100.0,"The ultimate GPU for gaming and content creation, featuring 24GB of GDDR6X memory and DLSS 3.","['Gaming', 'Content creation', '3D rendering']",2520,24,16384.0,450.0,GDDR6X,,,
gpu,AMD Radeon RX 7900 XTX,109999,95.0,"High-performance GPU with 24GB GDDR6 memory, ideal for gaming and professional workloads.","['Gaming', 'Editing', '3D rendering']",2500,24,6144.0,355.0,GDDR6,,,
gpu,NVIDIA GeForce RTX 3060,35999,75.0,"A great mid-range GPU for gaming and productivity, featuring 12GB of GDDR6 memory.","['Gaming', 'General', 'Office']",1777,12,3584.0,170.0,GDDR6,,,
gpu,AMD Radeon RX 6600,27999,70.0,"A budget-friendly GPU for 1080p gaming and general use, with 8GB GDDR6 memory.","['Gaming', 'General', 'Office']",2491,8,1792.0,132.0,GDDR6,,,
gpu,NVIDIA Quadro RTX 5000,189999,90.0,"Professional-grade GPU designed for content creation, 3D rendering, and complex simulations.","['Editing', 'Content creation', '3D rendering', 'Productivity']",1620,16,3072.0,265.0,GDDR6,,,
gpu,Intel Arc A750,29999,65.0,"Intel's entry into the GPU market, offering solid performance for gaming and general use.","['Gaming', 'General', 'Office']",2050,8,3584.0,225.0,GDDR6,,,
gpu,NVIDIA GeForce GTX 1650,15999,50.0,"An affordable GPU for casual gaming and everyday tasks, with 4GB GDDR5 memory.","['Gaming', 'General', 'Office']",1665,4,896.0,75.0,GDDR5,,,
gpu,AMD Radeon RX 6400,14999,45.0,A low-profile GPU suitable for light gaming and general computing tasks.,"['Gaming', 'General', 'Office']",2039,4,768.0,53.0,GDDR6,,,
gpu,NVIDIA T1000,49999,60.0,"A professional GPU for productivity and light content creation, with 8GB GDDR6 memory.","['Productivity', 'General', 'Office']",1395,8,896.0,50.0,GDDR6,,,
gpu,AMD Radeon Pro W6800,249999,92.0,"A workstation GPU designed for professionals in 3D rendering, video editing, and more.","['Editing', 'Content creation', '3D rendering', 'Productivity']",2325,32,3840.0,250.0,GDDR6,,,
gpu,NVIDIA GeForce GT 1030,6999,30.0,Entry-level GPU for basic tasks and light gaming.,"['General', 'Office']",1468,2,384.0,30.0,GDDR5,,,
gpu,AMD Radeon RX 550,7999,35.0,Budget GPU for casual gaming and multimedia tasks.,"['General', 'Office', 'Gaming']",1183,4,512.0,50.0,GDDR5,,,
